ID	ComplaintNo	SR	Datereceived	timereceived	Requestor	Building	department	location	CMType	Description	responseDate	ResponseTime	responsedBy	Response	Inspection	InspectBy	image1	image2	Report	COID	Contractor	Insp_position	Status	DateClose	TimeClose	AggreeBy	Agg_Position	QRef	QDesc	QFile	Staff	Priority	Odometer	Vehicle	DateModify	TimeModify	ModifyBy	TrailerNo	Driver	Jarak_Operasi	MrType	ForTrailer
636757	NULL	MR/20/40600/20/00019	55:28.9	Jan  2 2020  4:55PM	DAHARI	40600	NULL	442061020	NULL	"1. BREAKDOWN AT JENGKA 15, PAHANG - ECU ENGINE MALFUNCTION"	59:53.1	Jan  9 2020  8:59AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
641415	NULL	MR/20/40600/20/00400	26:11.0	Feb  4 2020 11:26AM	DAHARI	40600	NULL	442061020	NULL	1. SPRING PATAH 2. ANGIN KOMPRESSOR ROSAK	15:35.7	Feb  4 2020 12:15PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	09:26.0	09:26.0	1700135	TWC828	1700763	0	1	0
643441	NULL	MR/20/40600/20/00710	27:29.8	Feb 26 2020  9:27AM	dahari	40600	NULL	442061020	NULL	1.pembaikan puspakom	45:19.8	Feb 26 2020 12:45PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	13975845	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
643442	NULL	MR/20/40600/20/00711	28:17.3	Feb 26 2020  9:28AM	dahari	40600	NULL	442061020	NULL	1. tayar puspakom	39:46.5	Feb 26 2020 12:39PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	12:45:11 PM	1700250	NULL	NULL	NULL	NULL	1700135	1	13975845	WRH311	NULL	NULL	NULL	TWC828	1700763	0	3	0
643444	NULL	MR/20/40600/20/00712	29:02.6	Feb 26 2020  9:29AM	dahari	40600	NULL	442061020	NULL	1. cuci puspakom	54:53.4	Mar  5 2020  3:54PM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1701243	NULL	NULL	NULL	NULL	1700135	1	13975845	WRH311	NULL	NULL	NULL	TWC828	1700763	0	2	0
646401	NULL	MR/20/40600/20/01029	41:56.3	Mar 16 2020  2:41PM	dahari	40600	NULL	442061020	NULL	1. check bearing 2. tukar lampu 3. tukar mudguard 4. greasing system	31:58.9	Mar 16 2020  3:31PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	51:19.9	51:19.9	1701051	TWC828	1700763	0	1	0
646824	NULL	MR/20/40600/20/01090	56:58.0	Mar 23 2020 10:56AM	dahari	40600	NULL	442061020	NULL	1.breakdown di jengka 21 hub bearing	59:26.5	Mar 23 2020 10:59AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1367142	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
647074	NULL	MR/20/40600/20/01140	10:31.9	Mar 26 2020  3:10PM	DAHARI	40600	NULL	442061020	NULL	CUCI LUAR	07:50.3	Apr 21 2020 12:07PM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1701243	NULL	NULL	NULL	NULL	1700135	1	1402587	WRH311	NULL	NULL	NULL	TWC828	1700763	0	2	0
647484	NULL	MR/20/40600/20/01216	32:02.6	Apr  1 2020  3:32PM	DAHARI	40600	NULL	442061020	NULL	#NAME?	11:01.7	Apr  1 2020  4:11PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1404743	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
647747	NULL	MR/20/40600/20/01274	10:54.6	Apr  4 2020  3:10PM	DAHARI	40600	NULL	442061020	NULL	1. TAYAR BOCOR - 1 UNIT	02:59.9	Apr  6 2020  8:02AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1208621	1	1405903	WRH311	NULL	NULL	NULL	TWC826	1700763	0	3	0
647827	NULL	MR/20/40600/20/01285	49:40.5	Apr  6 2020 10:49AM	DAHARI	40600	NULL	442061020	NULL	B/DOWN DI GAMBANG - BRAKE JAMMED	06:00.7	Apr  6 2020 11:06AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1405903	WRH311	NULL	NULL	NULL	TWC826	1700763	0	1	0
647964	NULL	MR/20/40600/20/01317	34:09.1	Apr  7 2020  2:34PM	DAHARI	40600	NULL	442061020	NULL	CUCI LUAR	01:41.1	Apr 30 2020 11:01AM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1701243	NULL	NULL	NULL	NULL	1700135	1	1406858	WRH311	NULL	NULL	NULL	TWC826	1700763	0	2	0
648178	NULL	MR/20/40600/20/01353	28:14.5	Apr  9 2020  2:28PM	dahari	40600	NULL	442061020	NULL	adjust brake	31:24.7	Apr 13 2020  8:31AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1407579	WRH311	NULL	NULL	NULL	TWC826	1700763	0	1	0
648287	NULL	MR/20/40600/20/01370	33:54.4	Apr 10 2020  4:33PM	dahari	40600	NULL	442061020	NULL	1.tukar tayar	21:21.4	Apr 13 2020  8:21AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1700250	NULL	NULL	NULL	NULL	1700135	1	1407982	WRH311	NULL	NULL	NULL	TWC823	1700763	0	3	0
648399	NULL	MR/20/40600/20/01393	28:09.1	Apr 13 2020  9:28AM	DAHARI	40600	NULL	442061020	NULL	1.BRAKE CHAMBER DEPAN KIRI - 1PC 2.CLUTCH SERVO 3.INHIBITOR VALVE	31:38.9	Apr 13 2020 12:31PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1408737	WRH311	12:26.3	12:26.3	1700135	TWC826	1700763	0	1	0
648963	NULL	MR/20/40600/20/01496	04:27.8	Apr 18 2020  1:04PM	dahari	40600	NULL	442061020	NULL	1.minyak enjin	01:07.2	Apr 20 2020  8:01AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1410852	WRH311	NULL	NULL	NULL	TWC826	1700763	0	1	0
648964	NULL	MR/20/40600/20/01497	06:26.7	Apr 18 2020  1:06PM	dahari	40600	NULL	442061020	NULL	cuci luar	02:09.9	May 12 2020  3:02PM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1701243	NULL	NULL	NULL	NULL	1700135	1	1410852	WRH311	NULL	NULL	NULL	TWC826	1700763	0	2	0
649220	NULL	MR/20/40600/20/01535	59:18.8	Apr 21 2020  3:59PM	DAHARI	40600	NULL	442061020	NULL	TUKAR TAYAR	11:29.0	Apr 22 2020  9:11AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1700250	NULL	NULL	NULL	NULL	1700135	1	1412570	WRH311	NULL	NULL	NULL	TWC826	1700763	0	3	0
649535	NULL	MR/20/40600/20/01586	56:13.5	Apr 25 2020 12:56PM	dahari	40600	NULL	442061020	NULL	#NAME?	28:21.2	Apr 27 2020  8:28AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	NULL	NULL	NULL	TWC826	1700763	0	1	0
649594	NULL	MR/20/40600/20/01592	03:40.3	Apr 27 2020  8:03AM	dahari	40600	NULL	442061020	NULL	#NAME?	18:14.8	Apr 27 2020  8:18AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1414908	WRH311	NULL	NULL	NULL	TWC826	1700763	0	1	0
649595	NULL	MR/20/40600/20/01593	04:27.2	Apr 27 2020  8:04AM	DAHARI	40600	NULL	442061020	NULL	TUKAR TAYAR	17:46.8	Apr 27 2020  8:17AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	NULL	NULL	NULL	TWC826	1700763	0	3	0
649838	NULL	MR/20/40600/20/01634	11:47.8	Apr 28 2020  3:11PM	DAHARI	40600	NULL	442061020	NULL	CUCI LUAR	20:45.0	May  8 2020  3:20PM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1701243	NULL	NULL	NULL	NULL	1700135	1	1415225	WRH311	NULL	NULL	NULL	TWC826	1700763	0	2	0
650081	NULL	MR/20/40600/20/01682	08:15.0	May  2 2020  8:08AM	dahari	40600	NULL	442061020	NULL	1.check brake 2.ekzos brake 3.ikat ekzos 4.hidraulik 5l	44:03.8	May  4 2020  7:44AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1416568	WRH311	08:44.9	08:44.9	1700135	TWC826	1700763	0	1	0
650172	NULL	MR/20/40600/20/01699	44:33.7	May  3 2020  3:44PM	DAHARI	40600	NULL	442061020	NULL	ORDER RE 8	29:50.5	May  4 2020  7:29AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	NULL	NULL	NULL	TWC826	1700763	0	1	0
650527	NULL	MR/20/40600/20/01760	50:49.7	May  6 2020  9:50AM	DAHARI	40600	NULL	442061020	NULL	#NAME?	28:04.7	May  6 2020 10:28AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1418205	WRH311	51:47.8	51:47.8	1700135	TWC826	1700763	0	1	0
650620	NULL	MR/20/40600/20/01773	45:45.2	May  6 2020  3:45PM	DAHARI	40600	NULL	442061020	NULL	CUCI LUAR	46:38.5	Jun  3 2020  5:46PM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1701243	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	NULL	NULL	NULL	TWC826	1700763	0	2	0
651209	NULL	MR/20/40600/20/01861	59:13.5	May 13 2020  8:59AM	DAHARI	40600	NULL	442061020	NULL	BREAKDOWN DI ARING 6 BRAKE JAMMED	37:31.1	May 13 2020  9:37AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	NULL	NULL	NULL	TWC826	1700763	0	1	0
651281	NULL	MR/20/40600/20/01873	43:12.9	May 13 2020  2:43PM	dahari	40600	NULL	442061020	NULL	1.ADJUST BRAKE 2.CABIN JACK BOCOR	10:24.0	May 13 2020  3:10PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1422216	WRH311	02:54.1	02:54.1	1701250	TWC826	1700763	0	1	0
652874	NULL	MR/20/40600/20/01963	28:43.7	May 18 2020  5:28PM	DAHARI	40600	NULL	442061020	NULL	1.TUKAR TAYAR	31:10.4	May 19 2020  8:31AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	4:32:32 PM	1700250	NULL	NULL	NULL	NULL	1700135	1	1426360	WRH311	NULL	NULL	NULL	TWC826	1700763	0	3	0
652875	NULL	MR/20/40600/20/01964	29:37.6	May 18 2020  5:29PM	DAHARI	40600	NULL	442061020	NULL	MENTOL	30:24.6	May 19 2020  8:30AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1426360	WRH311	NULL	NULL	NULL	TWC826	1700763	0	1	0
653378	NULL	MR/20/40600/20/02043	44:16.9	May 27 2020  3:44PM	dahari	40600	NULL	442061020	NULL	1.TUKAR BRAKE LINING TL 	57:41.1	May 28 2020  7:57AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1427414	WRH311	NULL	NULL	NULL	TWC826	1700763	0	1	0
653513	NULL	MR/20/40600/20/02064	14:06.2	May 29 2020  8:14AM	dahari	40600	NULL	442061020	NULL	1.servis 2.check brake 3.check cabin 4.check ekzos brake	29:53.6	May 29 2020  8:29AM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701243	NULL	NULL	NULL	NULL	1700135	1	1427828	WRH311	NULL	NULL	NULL	TWC810	1700763	0	1	0
653611	NULL	MR/20/40600/20/02087	16:22.8	May 29 2020  4:16PM	dahari	40600	NULL	442061020	NULL	minyak enjin	53:40.4	May 30 2020  7:53AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	NULL	NULL	NULL	TWC810	1700763	0	1	0
653872	NULL	MR/20/40600/20/02142	44:55.9	Jun  1 2020  3:44PM	dahari	40600	NULL	442061020	NULL	#NAME?	47:31.3	Jun  1 2020  4:47PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	NULL	NULL	NULL	TWC810	1700763	0	1	0
654522	NULL	MR/20/40600/20/02258	21:17.1	Jun  9 2020  8:21AM	DAHARI	40600	NULL	442061020	NULL	#NAME?	29:48.0	Jun 11 2020  8:29AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1429550	WRH311	NULL	NULL	NULL	TWC810	1700763	0	1	0
654772	NULL	MR/20/40600/20/02291	16:12.4	Jun 10 2020  2:16PM	dahari	40600	NULL	442061020	NULL	#NAME?	49:54.6	Jun 10 2020  2:49PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1700250	NULL	NULL	NULL	NULL	1700135	1	1429903	WRH311	NULL	NULL	NULL	TWC828	1700763	0	3	0
654775	NULL	MR/20/40600/20/02294	20:07.5	Jun 10 2020  2:20PM	dahari	40600	NULL	442061020	NULL	#NAME?	54:46.0	Jun 12 2020  7:54AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1429903	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
654891	NULL	MR/20/40600/20/02308	32:30.7	Jun 11 2020  2:32PM	dahari	40600	NULL	442061020	NULL	1.minyak enjin  2.minyak clutch	35:49.0	Jun 11 2020  3:35PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1430303	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
655117	NULL	MR/20/40600/20/02354	14:55.8	Jun 13 2020 10:14AM	DAHARI	40600	NULL	442061020	NULL	1. CHECK HI LOW 2. AIR DRIER 	44:18.3	Jun 13 2020 10:44AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1431079	WRH311	17:16.9	17:16.9	1701250	TWC828	1700763	0	1	0
655458	NULL	MR/20/40600/20/02407	55:54.5	Jun 16 2020  2:55PM	dahari	40600	NULL	442061020	NULL	1.b.down di kg awah lori angin tak naik	16:00.4	Jun 16 2020  4:16PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1431079	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
655604	NULL	MR/20/40600/20/02434	04:03.3	Jun 17 2020  4:04PM	dahari	40600	NULL	442061020	NULL	1.tampal tayar	32:58.0	Jun 19 2020  8:32AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1700250	NULL	NULL	NULL	NULL	1700135	1	1432360	WRH311	NULL	NULL	NULL	TWC828	1700763	0	3	0
655605	NULL	MR/20/40600/20/02435	04:58.5	Jun 17 2020  4:04PM	dahari	40600	NULL	442061020	NULL	1.check brake	32:29.1	Jun 19 2020  8:32AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1432360	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
656083	NULL	MR/20/40600/20/02509	08:04.6	Jun 22 2020  4:08PM	DAHARI	40600	NULL	442061020	NULL	B.DOWN DI KG AWAH ANGIN TAK NAIK	59:52.0	Jul  2 2020 11:59AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1432361	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
656322	NULL	MR/20/40600/20/02548	37:21.0	Jun 24 2020  7:37PM	DAHARI	40600	NULL	442061020	NULL	1. weld brakcet mudguard	30:05.0	Jun 30 2020  4:30PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
656432	NULL	MR/20/40600/20/02577	15:40.7	Jun 25 2020  4:15PM	DAHARI	40600	NULL	442061020	NULL	CUCI LUAR	19:36.8	Jul 14 2020 11:19AM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701243	NULL	NULL	NULL	NULL	1700135	1	1436028	WRH311	NULL	NULL	NULL	TWC828	1700763	0	2	0
656579	NULL	MR/20/40600/20/02600	02:23.5	Jun 26 2020  5:02PM	DAHARI	40600	NULL	442061020	NULL	MINYAK ENJIN	43:44.2	Jun 28 2020  4:43PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1436111	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
656773	NULL	MR/20/40600/20/02627	06:41.1	Jun 29 2020  2:06PM	dahari	40600	NULL	442061020	NULL	1.tukar tayar	54:28.4	Aug  5 2020  7:54AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1700250	NULL	NULL	NULL	NULL	1700135	1	1437693	WRH311	NULL	NULL	NULL	TWC828	1700763	0	3	0
656901	NULL	MR/20/40600/20/02647	19:05.9	Jun 30 2020  2:19PM	DAHARI	40600	NULL	442061020	NULL	1.CHECK COMPRESSOR 2.CHECK BOGIE 3.LINING BRAKE	10:29.6	Jul  2 2020 12:10PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1438092	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
659499	NULL	MR/20/40600/20/02908	26:15.2	Jul 15 2020  2:26PM	dahari	40600	NULL	442061020	NULL	1.angin bocor 2.adjust brake	00:43.9	Jul 16 2020  9:00AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1438973	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
659500	NULL	MR/20/40600/20/02909	26:53.2	Jul 15 2020  2:26PM	dahari	40600	NULL	442061020	NULL	1.tukar tayar	01:36.4	Jul 15 2020  4:01PM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701243	NULL	NULL	NULL	NULL	1700135	1	1438973	WRH311	NULL	NULL	NULL	TWC828	1700763	0	3	0
659848	NULL	MR/20/40600/20/02974	18:47.9	Jul 18 2020  4:18PM	DAHARI	40600	NULL	442061020	NULL	1.ADJUST BRAKE 2.oilseal bocor 3.check lining brake 4.tukar adjuster 5.angin bocor 6.welding tangki	37:13.6	Jul 22 2020  3:37PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1440205	WRH311	21:11.8	21:11.8	1700135	TWC828	1700763	0	1	0
659886	NULL	MR/20/40600/20/02983	54:04.1	Jul 20 2020  8:54AM	DAHARI	40600	NULL	442061020	NULL	CUCI LUAR	45:22.7	Aug 17 2020 10:45AM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701243	NULL	NULL	NULL	NULL	1700135	1	1440205	WRH311	NULL	NULL	NULL	TWC828	1700763	0	2	0
660781	NULL	MR/20/40600/20/03146	50:40.2	Jul 28 2020  2:50PM	dahari	40600	NULL	442061020	NULL	1.tayar bocor	18:16.0	Aug 10 2020 10:18AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1700250	NULL	NULL	NULL	NULL	1700135	1	1442105	WRH311	NULL	NULL	NULL	TWC828	1700763	0	3	0
661349	NULL	MR/20/40600/20/03226	59:42.1	Aug  5 2020 10:59AM	ADLI	40600	NULL	442061020	NULL	1. mudguard pecah	15:37.7	Aug  5 2020  2:15PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	0	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
661489	NULL	MR/20/40600/20/03253	56:57.1	Aug  6 2020  2:56PM	DAHARI	40600	NULL	442061020	NULL	#NAME?	09:07.2	Aug 10 2020 10:09AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1444120	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
661490	NULL	MR/20/40600/20/03254	57:46.3	Aug  6 2020  2:57PM	DAHARI	40600	NULL	442061020	NULL	CUCI LUAR	41:24.5	Sep 10 2020  3:41PM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701243	NULL	NULL	NULL	NULL	1700135	1	1444120	WRH311	NULL	NULL	NULL	TWC828	1700763	0	2	0
661839	NULL	MR/20/40600/20/03307	08:38.8	Aug 10 2020  3:08PM	DAHARI	40600	NULL	442061020	NULL	CHECK BEARING	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1700135	1	1445758	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
662221	NULL	MR/20/40600/20/03379	45:46.6	Aug 13 2020  3:45PM	dahari	40600	NULL	442061020	NULL	1.tabung air bocor 2.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1700135	1	1446981	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
662223	NULL	MR/20/40600/20/03380	50:24.2	Aug 13 2020  3:50PM	DAHARI	40600	NULL	442061020	NULL	TUKAR TAYAR	08:48.2	Aug 14 2020  8:08AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1446981	WRH311	NULL	NULL	NULL	TWC828	1700763	0	3	0
662532	NULL	MR/20/40600/20/03441	50:51.9	Aug 17 2020  2:50PM	DAHARI	40600	NULL	442061020	NULL	1. CHECK WIRING LAMPU 2. CHECK HON	06:08.2	Aug 19 2020  3:06PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1448610	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
664502	NULL	MR/20/40600/20/03614	06:25.0	Aug 26 2020 10:06AM	dahari	40600	NULL	442061020	NULL	#NAME?	02:34.9	Aug 26 2020  3:02PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	1448610	WRH311	55:35.9	55:35.9	1700135	TWC828	1700763	0	1	0
665049	NULL	MR/20/40600/20/03700	35:41.7	Sep  1 2020  3:35PM	DAHARI	40600	NULL	442061020	NULL	#NAME?	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1700135	1	145457	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
665050	NULL	MR/20/40600/20/03701	36:48.3	Sep  1 2020  3:36PM	DAHARI	40600	NULL	442061020	NULL	CUCI LUAR	42:01.9	Sep 24 2020 11:42AM	1701243		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701243	NULL	NULL	NULL	NULL	1700135	1	145457	WRH311	NULL	NULL	NULL	TWC828	1700763	0	2	0
665177	NULL	MR/20/40600/20/03726	29:39.7	Sep  2 2020  3:29PM	dahari	40600	NULL	442061020	NULL	1.tukar tayar	43:07.6	Sep  2 2020  3:43PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1700250	NULL	NULL	NULL	NULL	1700135	1	145497	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
665440	NULL	MR/20/40600/20/03782	11:50.0	Sep  4 2020  5:11PM	DAHARI	40600	NULL	442061020	NULL	#NAME?	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1700135	1	145586	WRH311	NULL	NULL	NULL	TWC828	1700763	0	1	0
665442	NULL	MR/20/40600/20/03783	12:43.7	Sep  4 2020  5:12PM	DAHARI	40600	NULL	442061020	NULL	TUKAR TAYAR	21:17.6	Sep  4 2020  5:21PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1700135	1	145586	WRH311	NULL	NULL	NULL	TWC828	1700763	0	3	0
